Golf Course Name,Address,City,State,Golf Course Website,,,,,,,,,,
Cameron Veteran’s Memorial Golf Club,"1000 Park Avenue, Cameron, MO 64429",Cameron,MO,,,,,,,,,,,
University of Idaho Golf Course,"1215 Nez Perce Drive, Moscow, ID 83843",Moscow,ID,,,,,,,,,,,
The Legacy Golf Club,"400 Legacy Pkwy, Norwalk, IA",Norwalk,IA,,,,,,,,,,,
Locust Hill Golf Course,"278 Saint Andrews Dr, Charles Town, WV 25414-5234",Charles Town,WV,,,,,,,,,,,
King's Creek Golf Club,"6025 Club Dr, Kemp, TX 75143-9166",Kemp,TX,,,,,,,,,,,
University Club - Big Blue,"4850 Leestown Road, Lexington, KY","Lexington,",KY,,,,,,,,,,,
River Bend Links,"1205 Nine Lakes Drive, Robinsonville, MS 38664",Robinsonville,MS,,,,,,,,,,,
Pembroke Lakes Golf & Country Club,"10500 Taft St, Pembroke Pines, FL 33026",Pembroke Pines,FL,,,,,,,,,,,
Shoshone Golf & Tennis Club,"2000 Country Club Rd.I-90 “Big Creek Exit 54, Kellogg, ID 83849","Kellogg,",ID,,,,,,,,,,,
The National at Eagle Creek,"2341 Eagle Creek State Park, Findlay, IL 62534",Findlay,IL,,,,,,,,,,,
Black Rock Golf Course,"20025 Mount Aetna Rd, Hagerstown, MD 21742-9702",Hagerstown,MD,,,,,,,,,,,
The Links at Spruce Creek,"18050 SE 102nd Terrace, Summerfield, FL 34491",Summerfield,FL,,,,,,,,,,,
California Oaks Golf Club,"40603 Colony Drive, Murrieta, CA 92562",Murrieta,CA,,,,,,,,,,,
Eagle Ridge Golf Club,"601 Competition Rd, Raleigh, NC 27603",Raleigh,NC,,,,,,,,,,,
East Potomac Golf Course | Red,"972 Ohio Dr SW, Washington, DC 20024-2002",Washington,DC,,,,,,,,,,,
Idyl Wyld Golf Course,"35780 5 Mile Rd, Livonia, MI 48154",Livonia,MI,,,,,,,,,,,
Valle Vista Golf Club,"755 E Main St, Greenwood, IN 46143-1406",Greenwood,IN,,,,,,,,,,,
Houston National Golf Club,"16500 Houston National Blvd, Houston, TX 77095-6908",Houston,TX,,,,,,,,,,,
Harkers Hollow Golf Club,"950 Uniontown Rd, Phillipsburg, NJ 08865-9420",Phillipsburg,NJ,,,,,,,,,,,
Southern Oaks Golf Club,"13765 Southern Oaks Dr, Burleson, TX 76028-3269",Burleson,TX,,,,,,,,,,,
Meadowlark GC,"11599 W 31st St, Hinsdale, IL",Hinsdale,IL,,,,,,,,,,,
Butterfield Trail Golf Club,"1858 Cottonwoods, El Paso, TX 79906",El Paso,TX,,,,,,,,,,,
Oak Grove Golf Club,"1 Oak Grove Dr, Texarkana, TX 75570",Texarkana,TX,,,,,,,,,,,
Eagle Valley Golf Course - East Course,"3999 Centennial Park Dr, Carson City, NV 89706-1401",Carson City,NV,,,,,,,,,,,
Hidden Falls Golf Club,"220 Meadowlakes Drive, Marble Falls, TX 78654",Marble Falls,TX,,,,,,,,,,,
Rockwind Community Links,"5001 Jack Gomez Blvd, Hobbs, NM 88240",Hobbs,NM,,,,,,,,,,,
Coyote Preserve Golf Club,"9218 Preserve Dr, Fenton, MI 48430-9293",Fenton,MI,,,,,,,,,,,
Tahquitz Creek Golf Resort - Legends Course,"1885 Golf Club Dr, Palm Springs, CA 92264-3860",Palm Springs,CA,,,,,,,,,,,
White Plains Country Club,"4816 White Plains Church Rd, Pageland, SC 29728",Pageland,SC,,,,,,,,,,,
Legacy Golf Club,"8255 Legacy Blvd, Bradenton, FL 34202-2514",Bradenton,FL,,,,,,,,,,,
Turkey Creek,"1525 Highway 193, Lincoln, CA",Lincoln,CA,,,,,,,,,,,
Wilmette Golf Club,"3900 Fairway Dr, Wilmette, IL 60091",Wilmette,IL,,,,,,,,,,,
Stowe Country Club,"744 Cape Cod Rd, Stowe, VT 05672",Stowe,VT,,,,,,,,,,,
Dyker Beach Golf Course,"7th Avenue & 86th Street, Brooklyn, NY 11228",Brooklyn,NY,,,,,,,,,,,
Todd Creek Golf Club,"8455 Heritage Dr, Thornton, CO 80602-5247",Thornton,CO,,,,,,,,,,,
Palms Golf Club,"530 E. Peppermill Palms Blvd, Littlefield, AZ 86432",Littlefield,AZ,,,,,,,,,,,
Little Harbor Country Club,"9 Little Harbor Rd, Wareham, MA",Wareham,MA,,,,,,,,,,,
Evergreen Hills Golf Course,"26000 Evergreen Rd, Southfield, MI 48076-4453",Southfield,MI,,,,,,,,,,,
Sleepy Hollow Golf Course,"9445 Brecksville Rd, Brecksville, OH 44141-2711",Brecksville,OH,,,,,,,,,,,
Metamora Golf & Country Club,"1600 Club Dr, Metamora, MI 48455",Metamora,MI,,,,,,,,,,,
Gillette Ridge Golf Club,"1360 Hall Blvd, Bloomfield, CT 06002",Bloomfield,CT,,,,,,,,,,,
Paschal Golf Club,"555 Stadium Drive, Wake Forest, NC 27587",Wake Forest,NC,,,,,,,,,,,
Berkleigh Country Club,"14623 Kutztown Rd, Kutztown, PA 19530-8337",Kutztown,PA,,,,,,,,,,,
Pasatiempo Golf Club,"20 Clubhouse Drive, Santa Cruz, CA 95060",Santa Cruz,CA,,,,,,,,,,,
Lebanon Valley Golf Club,"240 Golf Rd, Myerstown, PA 17067-2205",Myerstown,PA,,,,,,,,,,,
Broadmoor Golf Links,"101 French Broad Ln, Fletcher, NC 28732-8648",Fletcher,NC,,,,,,,,,,,
Jekyll Island Golf Club - Indian Mound Course,"322 Captain Wylyy Rd, Jekyll Island, GA 31527",Jekyll Island,GA,,,,,,,,,,,
Emerald Vale Golf Club,"6867 E 16 Rd, Manton, MI 49663",Manton,MI,,,,,,,,,,,
Glenwood Country Club,"584 Highway 70 E, Glenwood, AR 71943",Glenwood,AR,,,,,,,,,,,
Whiskey Creek Golf Club,"4804 Whiskey Ct, Ijamsville, MD 21754-9522",Ijamsville,MD,,,,,,,,,,,
Jamestown Country Club,"3730 86th Ave. SE, Jamestown, ND 58401",Jamestown,ND,,,,,,,,,,,
Pointe South Golf Club,"4324 Peach Orchard Rd, Hephzibah, GA 30815-4703",Hephzibah,GA,,,,,,,,,,,
Whiskey Creek Country Club,"1449 Whiskey Creek Drive, Fort Myers, FL 33919",Fort Myers,FL,,,,,,,,,,,
Klein Creek Golf Club,"1N333 Pleasant Hill Road, Winfield, IL 60190",Winfield,IL,,,,,,,,,,,
Rio Mimbres Country Club,"2500 E. Pine Street, Deming, NM 88030",Deming,NM,,,,,,,,,,,
Hartland Glen Golf Course - North Course,"12400 Highland Rd, Hartland, MI 48353-2928",Hartland,MI,,,,,,,,,,,
Dearborn Hills Golf Course,"1300 S Telegraph Rd, Dearborn, MI 48124",Dearborn,MI,,,,,,,,,,,
Sanctuary Ridge Golf Club,"2601 Diamond Club Blvd, Clermont, FL 34711",Clermont,FL,,,,,,,,,,,
Burning Ridge Golf Course,"500 Burning Ridge Rd, Conway, SC 29526-9073",Conway,SC,http://www.classicgolfgroup.com,,,,,,,,,,
Maryland National Golf Club,"8836 Hollow Road, Middletown, MD 21769",Middletown,MD,http://www.marylandnational.com,,,,,,,,,,
Maderas Golf Club,"17750 Old Coach Rd, Poway, CA 92064-6621",Poway,CA,http://www.maderasgolf.com,,,,,,,,,,
The Views Golf Club,"1555 E. Rancho Vistoso Blvd., Oro Valley, AZ 85755",Oro Valley,AZ,http://www.theviewsgolfclub.com/,,,,,,,,,,
Brick Landing Plantation Golf Club,"1882 Goose Creek Rd SW, Ocean Isle Beach, NC 28469",Ocean Isle Beach,NC,http://http://bricklandingcc.com/,,,,,,,,,,
Legacy Ridge Country Club,"2201 Country Club Drive, Bonham, TX 75418",Bonham,TX,http://legacyridge.com/,,,,,,,,,,
Avon Fields Golf Course,"4081 Reading Road, Cincinnati, OH 45229",Cincinnati,OH,http://avonfields.cincygolf.org/,,,,,,,,,,
Holiday Island Golf Course,"1 Country Club Dr, Holiday Island, AR 72631-5106",Holiday Island,AR,http://www.holidayisland.com,,,,,,,,,,
Cordova Golf Course,"9425 Jackson Rd, Sacramento, CA 95826-9705",Sacramento,CA,http://www.cordovagc.com,,,,,,,,,,
Dayton Valley Golf Club At Legado,"101 Palmer Drive, Dayton, NV 89403-8537",Dayton,NV,http://www.daytonvalley.com,,,,,,,,,,
Roses Run,"2636 N River Rd, Stow, OH 44224-4718",Stow,OH,http://www.rosesrun.com,,,,,,,,,,
Arizona National Golf Club,"9777 E Sabino Greens Dr, Tucson, AZ 85749-9152",Tucson,AZ,http://www.arizonanationalgolfclub.com,,,,,,,,,,
Silver Lake Golf Course,"915 Victory Blvd, Staten Island, NY 10301-3701",Staten Island,NY,http://www.silverlakegolf.com,,,,,,,,,,
Aquarina Country Club,"7500 S A1A Highway, Melbourne Beach, FL 32951",Melbourne Beach,FL,http://aquarinacountryclub.com/,,,,,,,,,,
"The 797 Elks Golf Club, Inc.","2593 Rombach Ave, Wilmington, OH 45177-1993",Wilmington,OH,http://www.the797elksgolfclub.com,,,,,,,,,,
Chatuge Shores Golf Course,"260 Golf Course Rd, Hayesville, NC 28904",Hayesville,NC,http://www.chatugeshoresgolf.com,,,,,,,,,,
Copper Canyon Golf Club,"26577 W Desert Vista Blvd, Buckeye, AZ 85396",Buckeye,AZ,http://www.coppercanyongolfclub.com,,,,,,,,,,
Eagle Springs Golf Course - Eagle Springs Course,"2575 Redman Rd, Saint Louis, MO 63136-5860",Saint Louis,MO,http://www.eaglesprings.com,,,,,,,,,,
The Ranch Golf Club,"65 Sunnyside Rd, Southwick, MA 01077-9781",Southwick,MA,http://www.theranchgolfclub.com,,,,,,,,,,
Heritage Isles Golf and Country Club,"10630 Plantation Bay Dr, Tampa, FL 33647-3319",Tampa,FL,http://www.heritageislesgolf.com,,,,,,,,,,
South Shore Golf Club,"7059 S South Shore Dr, Chicago, IL 60649",Chicago,IL,http://southshore.cpdgolf.com/,,,,,,,,,,
Ravines Golf Club,"3520 Palmer Dr, Saugatuck, MI 49453-9448",Saugatuck,MI,http://www.ravinesgolfclub.com,,,,,,,,,,
Papago Golf Course,"5595 E Moreland St, Phoenix, AZ 85008-3448",Phoenix,AZ,http://www.papagogolfcourse.net/,,,,,,,,,,
Morongo Golf Club at Tukwet Canyon – Champions,"36211 Champions Dr, Beaumont, CA 92223",Beaumont,CA,http://www.tukwetcanyon.com,,,,,,,,,,
Wolf Hollow,"6546 N Shippee Rd, Lena, IL 61048-8618",Lena,IL,http://www.wolfhollowgolf.net/,,,,,,,,,,
Sugarloaf Golf Club,"Route 27; Sugarloaf Access Rd., Carrabassett Valley, ME 04947",Carrabassett Valley,ME,http://www.sugarloafgolfclub.com/,,,,,,,,,,
Oak Shadows Golf Club,"1063 Oak Shadows Dr NE, New Philadelphia, OH 44663-7077",New Philadelphia,OH,http://www.oakshadowsgolf.com,,,,,,,,,,
Lookout Mountain G.C.,"11111 N 7th St, Phoenix, AZ 85020-1176",Phoenix,AZ,https://www.tapatiocliffshilton.com/,,,,,,,,,,
Charles T Myers Golf Course,"7817 Harrisburg Rd, Charlotte, NC 28215",Charlotte,NC,http://www.charlottepublicgolf.com/charles-t-myers.php,,,,,,,,,,
LakeSide Country Club,"4555 East Windmill Dr., Inverness, FL 34453-1518",Inverness,FL,https://www.lakesidegolfranch.com/,,,,,,,,,,
Meadowlands Golf Club,"1000 Meadowlands Trl, Calabash, NC 28467",Calabash,NC,http://www.meadowlandsgolf.com,,,,,,,,,,
Pehquenakonck Country Club,"101 Bloomerside Rd, North Salem, NY 10560",North Salem,NY,http://www.northsalemgolf.com/,,,,,,,,,,
Gatlinburg Golf Course,"520 Dollywood Ln, Pigeon Forge, TN 37863-4105",Pigeon Forge,TN,http://www.ci.gatlinburg.tn.us,,,,,,,,,,
White Deer Run Golf Club,"250 W Greggs Pkwy, Vernon Hills, IL 60061-4553",Vernon Hills,IL,http://www.whitedeergolf.com,,,,,,,,,,
The Golf Club of Rancho California,"39500 Robert Trent Pkwy, Murrieta, CA 92563",Murrieta,CA,http://www.thegolfclubatranchocalifornia.com/index.htm,,,,,,,,,,
Catamount Club,"1400 Mountain View Rd, Williston, VT 05495-7163",Williston,VT,http://www.catamountgolf.com,,,,,,,,,,
Flamingo Lakes Country Club,"701 SW Flamingo West Dr, Hollywood, FL 33027-6745",Hollywood,FL,http://www.flamingolakescc.com/,,,,,,,,,,
River View Golf Course,"1800 W. Santa Clara Avenue, Santa Ana, CA 92706",Santa Ana,CA,http://www.riverviewgolf.com,,,,,,,,,,
McCormick Ranch Golf Club - Palm Course,"7505 E McCormick Pkwy, Scottsdale, AZ 85258-3429",Scottsdale,AZ,http://www.mccormickranchgolf.com,,,,,,,,,,
Rancho Del Rey,"5250 Green Sands Ave, Atwater, CA 95301",Atwater,CA,http://www.ranchordr.com,,,,,,,,,,
The Dunedin Golf Club,"1050 Palm Blvd, Dunedin, FL 34698",Dunedin,FL,http://www.dunedingolfclub.com/,,,,,,,,,,
Whitestone Golf Club,"10650 Highway 377 South, Benbrook, TX 76126",Benbrook,TX,http://www.whitestonegolf.com,,,,,,,,,,
Druids Glen Golf Club,"29925 207th Ave SE, Kent, WA 98042-5906",Kent,WA,http://www.druidsglengolf.com,,,,,,,,,,
Foxfire Golf Club - The Players Club Course,"10799 State Route 104, Lockbourne, OH 43137-9644",Lockbourne,OH,http://www.foxfiregolfclub.com/,,,,,,,,,,
The Bridges Golf Club At Gale Ranch,"9000 S Gale Ridge Rd, San Ramon, CA 94582-9174",San Ramon,CA,http://www.thebridgesgolf.com,,,,,,,,,,
Balmoral Woods Country Club,"2500 S Balmoral Woods Dr, Crete, IL 60417",Crete,IL,https://www.balmoralwoods.com/,,,,,,,,,,
Rollingstone Ranch Golf Club,"2200 Village Inn Court, Steamboat Springs, CO 80487",Steamboat Springs,CO,http://www.rollingstoneranchgolf.com,,,,,,,,,,
Mendota Golf Club,"35666 Route 34 West, Mendota, IL 61342",Mendota,IL,http://www.mendotagolfclub.com/,,,,,,,,,,
Manor Golf Club,"153 Bran Rd, Sinking Spring, PA",Sinking Spring,PA,http://www.themanorgolfclub.com/,,,,,,,,,,
The River Club,"6600 River Club Blvd, Bradenton, FL 34202",Bradenton,FL,http://www.riverclubgc.com,,,,,,,,,,
Cookeville Golf Club,"1500 Country Club Rd, Cookeville, TN 38501-2012",Cookeville,TN,https://www.golfcookeville.com/index.php,,,,,,,,,,
George Dunne National Golf Course,"16310 Central Ave, Oak Forest, IL 60452",Oak Forest,IL,http://georgedunne.forestpreservegolf.com/,,,,,,,,,,
Scholl Canyon Golf Course,"3800 E Glenoaks Blvd, Glendale, CA 91206-3128",Glendale,CA,http://www.schollcanyongc.com/,,,,,,,,,,
The Bridges Golf Club,"2400 Fred Couples Rd, Gunter, TX 75058",Gunter,TX,http://www.bridgestexasgolf.com/,,,,,,,,,,
Arroyo Seco Golf Course,"1055 Lohman Ln, South Pasadena, CA 91030",South Pasadena,CA,http://arroyosecogc.com,,,,,,,,,,
Fountainhead Golf Course At Eufalla State Park,"Highway 150, Checotah, OK 74426",Checotah,OK,http://www.oklahomagolf.com,,,,,,,,,,
Anaheim Hills Golf Course,"6501 E Nohl Ranch Rd, Anaheim, CA 92807-4807",Anaheim,CA,https://www.anaheimhillsgc.com/,,,,,,,,,,
Cherokee Ridge Country Club,"4000 Cherokee Ridge Dr, Union Grove, AL 35175-7943",Union Grove,AL,http://www.cherokeeridge.com,,,,,,,,,,
Golf Club At South Hampton,"315 S Hampton Club Way, Saint Augustine, FL 32092-1030",Saint Augustine,FL,http://www.golfsouthhampton.com/,,,,,,,,,,
Hampton Golf Club,"2600 Club Drive, Rochester Hills, MI",Rochester Hills,MI,http://www.golfthehampton.com,,,,,,,,,,
Ancil Hoffman Golf Course,"6700 Tarshes Dr, Carmichael, CA 95608-5398",Carmichael,CA,http://www.golfancilhoffman.com,,,,,,,,,,
Acushnet River Valley Golf Course,"685 Main St, Acushnet, MA 02743",Acushnet,MA,http://www.golfacushnet.com,,,,,,,,,,
Bedford Trails Golf Course,"713 Bedford Rd, Lowellville, OH 44436-9598",Lowellville,OH,http://www.bedfordtrails.com,,,,,,,,,,
Top of the World Golf Course,"441 Lockhart Mountain Rd, Lake George, NY 12845",Lake George,NY,http://www.topoftheworldgolfresort.com,,,,,,,,,,
Robert A. Black Golf Course,"2045 W Pratt Blvd, Chicago, IL 60645",Chicago,IL,http://robertblack.cpdgolf.com/,,,,,,,,,,
Stoneybrook Golf Club At Heritage Harbour,"8000 Stone Harbour Loop, Bradenton, FL 34212-6351",Bradenton,FL,http://www.golfstoneybrook.com,,,,,,,,,,
Vineyard Golf At Renault,"72 N Bremen Ave, Egg Harbor City, NJ 08215-3106",Egg Harbor City,NJ,http://www.renaultwinery.com,,,,,,,,,,
Shale Creek,"5420 Wolff Rd, Medina, OH 44256-9435",Medina,OH,http://www.shalecreekgolfclubggp.com,,,,,,,,,,
Clearview Park Golf Course,"202-12 Willets Point Blvd, Bayside, NY 11360-1038",Bayside,NY,http://www.clearviewparkgc.com/,,,,,,,,,,
Fox Den Golf Course,"2770 Call Road, Stow, OH 44224",Stow,OH,http://www.foxdengc.com/,,,,,,,,,,
Paradise Valley Country Club,"1055 Lochmoor Dr, Tipton, MO 63049-1119",Tipton,MO,http://www.paradisevalleygolf.com,,,,,,,,,,
Shingle Creek Golf Club,"9939 Universal Blvd, Orlando, FL 32819-8701",Orlando,FL,http://www.shinglecreekgolf.com,,,,,,,,,,
Whisper Creek Golf Course,"12840 Del Webb Boulevard, Huntley, IL 60142",Huntley,IL,http://www.whispercreekgolf.com,,,,,,,,,,
Eagle Ridge Golf & Tennis Club,"14589 Eagle Ridge Dr, Fort Myers, FL 33912-1804",Fort Myers,FL,http://www.playeagleridge.com,,,,,,,,,,
Canyon West Golf Club,"160 Club House Dr, Weatherford, TX 76087-4000",Weatherford,TX,http://www.canyonwestgolf.com,,,,,,,,,,
Mill Quarter Plantation Golf Course,"1525 Mill Quarter Rd, Powhatan, VA 23139",Powhatan,VA,http://www.millquarter.com,,,,,,,,,,
Eagle Harbor Golf Club,"2217 Eagle Harbor Parkway, Orange Park, FL 32003",Orange Park,FL,http://hamptongolfclubs.com/club/eagle-harbor-golf-club/,,,,,,,,,,
Forty Niner Golf & Country Club,"12000 E Tanque Verde Rd, Tucson, AZ 85749-9728",Tucson,AZ,http://www.fortyninercc.com,,,,,,,,,,
Santa Maria Golf Club,"18460 Santa Maria Ave, Baton Rouge, LA 70810-6053",Baton Rouge,LA,http://www.brec.org/index.cfm/park/SantaMariaGolf,,,,,,,,,,
Bull Creek Golf Course | West,"7333 Lynch Rd, Midland, GA 31820-4021",Midland,GA,http://www.columbusga.org/bullcreek,,,,,,,,,,
Buena Vista Golf Course,"131 Buena Vista Drive, DeKalb, IL 60115",DeKalb,IL,http://www.buenavistagc.com,,,,,,,,,,
Smoky Mountain Country Club,"1300 Conleys Creek Road, Whittier, NC 28789",Whittier,NC,http://carolinamountaingolf.com/,,,,,,,,,,
Pleasant Valley Country Club,"3830 Hamilton Rd, Medina, OH 44256-9084",Medina,OH,http://www.golfpleasantvalley.net,,,,,,,,,,
Purgatory Golf Club,"12160 E 216th St, Noblesville, IN 46060-6714",Noblesville,IN,http://www.purgatorygolf.com,,,,,,,,,,
Hop Brook Golf Course,"615 Church St, Naugatuck, CT 06770",Naugatuck,CT,https://www.hopbrookgolf.com/,,,,,,,,,,
Sylvan Glen Golf Course,"5725 Rochester Road South, Troy, MI 48085",Troy,MI,http://www.golftroy.com/Sylvan-Glen-Golf-Course.html,,,,,,,,,,
Poston Butte Golf Club,"6100 W Merrill Ranch Pkwy, Florence, AZ 85232",Florence,AZ,http://www.postonbutte.com,,,,,,,,,,
Heritage Ridge Golf Club,"6510 SE Heritage Blvd, Hobe Sound, FL 33455-5899",Hobe Sound,FL,http://www.heritageridgegolf.com,,,,,,,,,,
Yosemite Lakes Park Golf Course,"42515 Artesian Ct, Coarsegold, CA 93614-9670",Coarsegold,CA,http://www.yloa.org,,,,,,,,,,
Wolves Crossing Golf Club,"23745 N Centennial Rd, Jerseyville, IL 62052",Jerseyville,IL,https://www.wolvescrossinggc.com/,,,,,,,,,,
SunBird Golf Club,"6240 S Sunbird Blvd, Chandler, AZ 85249-4059",Chandler,AZ,https://www.sunbirdgolf.com/,,,,,,,,,,
Shawnee Hills Golf Course - Par 3,"18753 Egbert Road, Bedford Hts, OH 44146",Bedford Hts,OH,http://www.clemetparks.com/recreation/golf/shawnee,,,,,,,,,,
Southland,"5726 Southland Dr, Stone Mountain, GA 30087-5278",Stone Mountain,GA,http://www.southlandgolfclub.com/,,,,,,,,,,
Talamore Golf Club,"48 Talamore Dr, Southern Pines, NC 28387-2147",Southern Pines,NC,http://www.talamoregolfresort.com,,,,,,,,,,
The Golf Club of Indiana,"6905 S 525 E, Whitestown, IN 46075",Whitestown,IN,http://www.golfindiana.com,,,,,,,,,,
Myrtlewood Golf Club - PineHills Course,"1500 48th Avenue Ext N, Myrtle Beach, SC 29577-8701",Myrtle Beach,SC,http://www.myrtlewoodgolf.com/,,,,,,,,,,
La Quinta Resort & Club Dunes Course,"50-200 Avenue Vista Bonita, La Quinta, CA 92253",La Quinta,CA,http://www.laquintaresort.com/golf/,,,,,,,,,,
Deltona Club,"1120 Elkcam Blvd, Deltona, FL 32725-2809",Deltona,FL,http://www.thedeltonaclub.com,,,,,,,,,,
The Arboretum Club,"401 Half Day Road, Buffalo Grove, IL 60089",Buffalo Grove,IL,http://www.arboretumgolf.com,,,,,,,,,,
Brae Burn Golf Club,"10860 Five Mile Rd., Plymouth, MI 48170",Plymouth,MI,http://www.braeburngc.com,,,,,,,,,,
Harbor Links Golf Course | Harbor Links,"601 Harbor Isle Blvd, Klamath Falls, OR 97601-1288",Klamath Falls,OR,http://www.harborlinksgolf.net,,,,,,,,,,
The Bull at Pinehurst Farms,"One Long Drive, Sheboygan, WI 53085",Sheboygan,WI,http://www.golfthebull.com,,,,,,,,,,
Creekside Golf Club,"701 Lincoln Ave., Modesto, CA 91761",Modesto,CA,http://www.thecreeksidegolfcourse.com/,,,,,,,,,,
Hernando Oaks Golf & Country Club,"5230 Delacroix Dr., Brooksville, FL 34604",Brooksville,FL,http://www.hernandooaksgc.com,,,,,,,,,,
Henry Horton State Park Golf Course,"4209 Nashville Hwy, Chapel Hill, TN 37034-2127",Chapel Hill,TN,http://www.tnstateparks.com,,,,,,,,,,
Edgewood Golf Club,"16497 Kennedy Road, Auburn, IL 62615",Auburn,IL,http://www.golfedgewood.com,,,,,,,,,,
El Rio Golf Course,"1400 W Speedway Blvd, Tucson, AZ 85745-2322",Tucson,AZ,http://www.tucsoncitygolf.com/elrio.html,,,,,,,,,,
Poxabogue Golf Center,"3556 Montauk Highway, Wainscott, NY 11975",Wainscott,NY,https://www.poxgolf.com/,,,,,,,,,,
Boomerang Golf Course,"7309 W 4th St, Greeley, CO 80634",Greeley,CO,http://greeleygov.com/Golf/boomerang.aspx,,,,,,,,,,
Woodford Hills,"3495 McCowans Ferry Rd, Versailles, KY 40383-9032",Versailles,KY,http://www.pga.com/golf-courses/details/ky/versailles/woodford-hills-country-club,,,,,,,,,,
Durango Hills Golf Club,"3501 N Durango Dr, Las Vegas, NV 89129-7277",Las Vegas,NV,http://www.durangohillsgolf.com/,,,,,,,,,,
The Club at Winston Trails,"6101 Winston Trails Blvd, Lake Worth, FL 33463",Lake Worth,FL,http://www.winstontrailsgolfclub.com,,,,,,,,,,
Silverbell Golf Course,"3600 N Silverbell Rd, Tucson, AZ 85745-9701",Tucson,AZ,http://www.tucsoncitygolf.com/silverbell/,,,,,,,,,,
Shannon Greens Golf Club,"1435 Davenport Drive, Manning, SC 29102",Manning,SC,http://www.shannongreens.com/index.html,,,,,,,,,,
Brenham Country Club,"4107 Highway 105, Brenham, TX 77833",Brenham,TX,http://www.brenhamcc.com,,,,,,,,,,
Otsego Club - The Tribute,"696 M-32 East Main Street, Gaylord, MI 49734",Gaylord,MI,http://www.otsegoclub.com/,,,,,,,,,,
Enagic Golf Club at Eastlake,"2375 Clubhouse Dr., Chula Vista, CA 91915-1213",Chula Vista,CA,https://www.enagicgolfclub.com/,,,,,,,,,,
Bay View Golf Club,"45-285 Kaneohe Bay Drive, Kaneohe, HI",Kaneohe,HI,http://www.bayviewgolfcourse.com/index.php,,,,,,,,,,
Lago Vista Golf Course,"4616 Rimrock Drive, Lago Vista, TX 78645-6142",Lago Vista,TX,http://www.lagovistagc.com/,,,,,,,,,,
The Grand Club - Cypress Knoll Golf Course,"53 Easthampton Blvd, Palm Coast, FL 32164-6260",Palm Coast,FL,http://www.cypressknollgolfandcountryclub.com/,,,,,,,,,,
Arthur Hills Golf Course,"10717 Audrain Road 929, Mexico, MO 65265",Mexico,MO,http://www.arthurhillsgolf.com,,,,,,,,,,
Dunwoodie Golf Course,"1 Wasylenko Ln, Yonkers, NY 10701-6417",Yonkers,NY,http://golf.westchestergov.com/dunwoodie-golf-course-,,,,,,,,,,
Haven Golf Club,"110 N Abrego Dr, Green Valley, AZ 85614-2928",Green Valley,AZ,http://www.havengolf.com,,,,,,,,,,
Smithtown Landing Country Club - Smithtown Landing Course,"495 Landing Ave, Smithtown, NY 11787-1144",Smithtown,NY,http://smithtownlandingcc.com/,,,,,,,,,,
